"","liv","die","rea","des","pas","dur","fre","att","con","det","cry","pla","met","cou","exp","pre","not","arr","cea"
"158",1,2,2,2,0,1,1,2,1,1,2,2,2,1,1,1,0,0,2
"159",2,1,1,1,2,0,0,1,1,1,1,2,0,0,0,0,2,0,0
"160",1,1,0,1,0,1,1,1,0,1,2,0,0,1,0,0,2,0,2
"161",1,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,0,1,2
"162",1,1,2,2,2,1,1,2,1,1,2,1,2,2,1,0,1,0,1
"163",2,2,1,2,2,2,2,2,1,0,2,1,2,2,2,1,1,0,1
"164",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"165",1,0,2,2,2,0,0,1,0,0,2,2,0,2,2,1,0,0,2
"166",1,1,1,1,2,2,1,1,1,1,2,1,0,1,1,1,0,0,2
"167",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"168",2,2,1,2,2,2,2,2,2,1,2,2,0,2,2,2,0,0,2
"169",1,2,2,1,1,1,1,1,1,1,2,1,0,1,1,1,1,2,2
"170",1,2,2,2,1,1,1,1,0,1,2,1,0,1,1,2,0,0,2
"171",1,2,1,2,2,2,2,2,1,2,2,0,2,1,1,0,0,0,2
"172",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"173",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"174",2,2,2,2,2,1,1,2,1,2,2,0,2,1,1,0,0,0,1
"175",1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1
"176",2,2,2,1,1,1,1,2,1,1,1,1,0,1,2,0,2,0,0
"177",1,1,0,1,0,0,0,1,0,0,2,0,2,1,1,0,0,0,2
"178",2,2,1,2,1,0,2,1,1,0,1,0,0,2,1,0,0,1,2
"179",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"180",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"181",1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,0,0,0,0
"182",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"183",1,2,2,1,2,1,1,1,1,1,2,0,0,1,0,0,0,0,2
"184",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"185",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"186",0,0,0,1,0,1,1,1,1,1,2,0,2,1,2,0,1,0,0
"187",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"188",2,2,2,2,0,2,2,2,1,2,0,2,2,0,1,1,2,2,0
"189",2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,0,0,0,0
"190",1,2,2,1,0,1,1,2,0,0,2,2,2,1,0,0,0,1,0
"191",1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,1,1
"192",0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1
"193",0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0
"194",1,1,1,1,1,1,0,1,1,1,1,0,0,2,1,0,0,0,1
"195",1,2,2,1,2,1,1,1,1,1,0,1,0,0,0,0,0,0,1
"196",1,2,2,2,1,1,1,1,1,2,2,1,2,2,1,1,1,0,1
"197",2,2,1,1,1,1,1,1,1,2,2,2,2,0,1,1,0,0,2
"198",1,1,2,1,0,1,1,2,1,1,1,1,2,2,1,1,0,0,2
"199",2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,1,1
"200",1,2,2,2,1,1,1,1,1,0,2,1,2,1,1,0,1,1,2
"201",1,1,1,1,1,1,1,1,1,1,2,0,0,2,1,0,0,0,1
"202",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"203",2,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2
"204",2,2,1,2,1,2,1,2,1,1,2,1,2,1,1,1,2,0,2
"205",1,2,2,1,2,1,0,1,1,2,2,2,1,2,2,0,2,2,2
"206",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"207",1,2,2,2,2,2,2,1,1,1,2,1,2,1,1,1,1,0,1
"208",1,2,0,2,1,0,0,0,0,0,1,1,2,2,0,0,0,0,2
"209",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"210",2,1,2,2,1,2,2,2,2,1,1,0,2,2,2,0,0,0,2
"211",1,2,2,2,2,2,2,1,1,0,2,1,2,2,2,2,2,1,2
"212",1,2,1,2,1,1,0,0,1,1,2,0,2,2,0,0,2,2,1
"213",1,1,2,1,2,0,1,1,0,1,1,1,0,1,1,1,2,2,2
"214",2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,0,1
"215",1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,0,1,0,2
"216",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"217",2,1,0,2,0,2,1,2,1,2,2,2,0,2,1,0,0,0,1
"218",1,1,0,2,2,1,1,1,1,1,1,2,2,2,2,1,0,1,2
"219",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"221",2,2,2,2,2,2,2,2,1,0,2,2,2,2,2,2,0,0,0
"222",1,2,2,2,2,2,2,2,1,1,2,1,2,1,1,1,1,0,0
"223",1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,0,0,0,1
"224",2,2,2,2,1,2,2,2,1,1,1,2,2,2,1,0,0,0,2
"225",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2
"226",2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,1,0,0,1
"227",2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,0,0,0,2
"228",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0
"229",1,2,2,1,1,2,1,1,1,1,2,1,2,1,2,1,0,1,0
"230",1,1,1,1,0,0,1,1,1,2,2,1,1,2,1,1,0,0,1
"231",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"232",1,2,2,2,2,1,1,2,1,2,2,1,2,1,1,1,2,0,0
"233",2,2,2,2,2,1,2,2,1,2,2,2,2,1,2,1,0,0,2
"234",1,1,2,1,1,1,1,1,1,2,1,1,2,2,2,1,0,0,1
"235",1,2,1,2,1,2,1,2,1,1,2,1,1,1,2,1,0,1,2
"236",1,1,0,1,0,1,1,0,0,1,2,1,2,1,0,0,2,0,1
"237",2,2,1,2,2,1,2,2,1,2,1,1,1,1,2,1,1,2,0
"238",1,2,1,1,1,0,0,0,0,0,2,1,2,1,0,0,1,0,2
"239",1,2,2,2,1,2,2,2,1,2,1,1,1,2,2,1,2,0,0
"240",1,2,1,2,2,1,1,1,1,1,2,1,2,2,1,0,2,1,2
"241",1,1,1,2,1,1,1,1,1,1,2,2,2,1,1,1,1,0,2
"242",2,1,1,1,1,0,0,2,1,2,2,2,2,1,1,2,0,0,2
"243",1,1,1,1,1,0,0,2,1,1,2,1,2,2,1,1,2,0,1
"244",2,2,2,2,0,2,2,2,2,1,2,2,2,2,2,2,2,2,2
"245",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"246",1,2,2,2,2,1,1,1,2,2,2,0,2,2,1,0,0,0,0
"247",1,2,2,1,1,1,1,1,1,1,2,1,2,1,1,0,2,0,1
"248",2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2
"249",2,2,2,1,2,0,1,1,1,1,2,0,2,2,1,0,0,2,2
"250",1,2,1,1,2,1,1,1,1,2,1,0,2,1,1,0,0,1,1
"251",2,2,2,2,2,2,1,2,1,1,1,1,2,1,1,2,2,0,2
"252",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"253",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"254",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"255",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,2
